SECCION,LISTA_HOMBRES,LISTA_MUJERES,LISTA_NOMINAL_OFICIAL,ANIO_PADRON,FUENTE
2134,689,772,1461,2024,ine.csv
2135,554,613,1167,2024,ine.csv
2136,1010,1123,2133,2024,ine.csv
2137,877,989,1866,2024,ine.csv
2138,600,685,1285,2024,ine.csv
2139,606,709,1315,2024,ine.csv
2140,809,918,1727,2024,ine.csv
2141,360,424,784,2024,ine.csv
2142,769,842,1611,2024,ine.csv
2143,287,360,647,2024,ine.csv
2144,289,316,605,2024,ine.csv
2145,566,624,1190,2024,ine.csv
2146,455,491,946,2024,ine.csv
2147,716,779,1495,2024,ine.csv
2148,971,1112,2083,2024,ine.csv
2149,477,541,1018,2024,ine.csv
2150,247,280,527,2024,ine.csv
2151,317,351,668,2024,ine.csv
2152,277,296,573,2024,ine.csv
2153,645,734,1379,2024,ine.csv
2154,350,414,764,2024,ine.csv
2155,729,880,1609,2024,ine.csv
2156,315,364,679,2024,ine.csv
2157,227,315,542,2024,ine.csv
2158,554,706,1260,2024,ine.csv
2159,626,766,1392,2024,ine.csv
2160,637,761,1398,2024,ine.csv
2161,923,1105,2028,2024,ine.csv
2162,594,720,1314,2024,ine.csv
2163,152,165,317,2024,ine.csv
2165,250,268,518,2024,ine.csv
2166,404,437,841,2024,ine.csv
2167,228,250,478,2024,ine.csv
2168,667,700,1367,2024,ine.csv
2169,1088,1217,2305,2024,ine.csv
2170,76,68,144,2024,ine.csv
2171,36,35,71,2024,ine.csv
2173,46,50,96,2024,ine.csv
2174,43,49,92,2024,ine.csv
2175,170,180,350,2024,ine.csv
2176,79,83,162,2024,ine.csv
2177,383,393,776,2024,ine.csv
2178,162,202,364,2024,ine.csv
2179,179,181,360,2024,ine.csv
2180,437,479,916,2024,ine.csv
2181,187,205,392,2024,ine.csv
2182,505,573,1078,2024,ine.csv
2183,441,505,946,2024,ine.csv
2184,213,239,452,2024,ine.csv
2185,153,155,308,2024,ine.csv
2186,74,70,144,2024,ine.csv
2187,87,87,174,2024,ine.csv
2188,54,64,118,2024,ine.csv
2189,56,67,123,2024,ine.csv
2190,80,83,163,2024,ine.csv
2191,769,901,1670,2024,ine.csv
2192,163,181,344,2024,ine.csv
2193,327,383,710,2024,ine.csv
2194,247,273,520,2024,ine.csv
2195,1053,1100,2153,2024,ine.csv
2196,514,604,1118,2024,ine.csv
2197,227,252,479,2024,ine.csv
2198,250,268,518,2024,ine.csv
2199,241,255,496,2024,ine.csv
2200,130,160,290,2024,ine.csv
2201,316,372,688,2024,ine.csv
2202,55,54,109,2024,ine.csv
2203,510,569,1079,2024,ine.csv
2204,212,232,444,2024,ine.csv
2205,527,629,1156,2024,ine.csv
2206,479,501,980,2024,ine.csv
2207,609,680,1289,2024,ine.csv
2208,868,1353,2221,2024,ine.csv
2209,364,578,942,2024,ine.csv
2210,327,446,773,2024,ine.csv
2211,253,252,505,2024,ine.csv
2212,139,125,264,2024,ine.csv
2213,290,352,642,2024,ine.csv
2214,44,57,101,2024,ine.csv
2215,289,301,590,2024,ine.csv
2216,145,148,293,2024,ine.csv
2217,175,205,380,2024,ine.csv
2218,227,209,436,2024,ine.csv
2219,163,181,344,2024,ine.csv
2220,143,161,304,2024,ine.csv
2221,135,137,272,2024,ine.csv
2222,877,927,1804,2024,ine.csv
